name,salary,mlbid
Joakim Soria,"$3,500,000",465657
Daniel Norris,"$3,475,000",596057
Brad Keller,"$3,350,000",641745
Brandon Woodruff,"$3,275,000",605540
Jose Urena,"$3,250,000",570632
Kenta Maeda,"$3,125,000",628317
Michael Fulmer,"$3,100,000",605242
Michael Wacha,"$3,000,000",608379
Tyler Chatwood,"$3,000,000",543022
Ross Stripling,"$3,000,000",548389
Julio Teheran,"$3,000,000",527054
Brandon Kintzler,"$3,000,000",445213
Matt Moore,"$3,000,000",519043
Carlos Rodon,"$3,000,000",607074
Shohei Ohtani,"$3,000,000",660271
Alex Wood,"$3,000,000",622072
Antonio Senzatela,"$3,000,000",622608
Aaron Loup,"$3,000,000",571901
Seth Lugo,"$2,925,000",607625
Daniel Bard,"$2,925,000",453268
Justin Wilson,"$2,850,000",458677
Greg Holland,"$2,750,000",518813
Kohei Arihara,"$2,600,000",685503
Yusmeiro Petit,"$2,550,000",433589
Trevor Williams,"$2,500,000",592866
Rich Hill,"$2,500,000",448179
Blake Parker,"$2,500,000",453284
Joely Rodriguez,"$2,500,000",570257
Tyler Anderson,"$2,500,000",542881
Brett Anderson,"$2,500,000",474463
Sergio Romo,"$2,500,000",489265
Ryan Yarbrough,"$2,300,000",642232
Tommy Hunter,"$2,250,000",488984
Andrew Chafin,"$2,250,000",605177
Rafael Montero,"$2,250,000",606160
Jameson Taillon,"$2,250,000",592791
Tyler Duffey,"$2,200,000",608648
Tyler Mahle,"$2,200,000",641816
Chad Green,"$2,150,000",643338
Ian Kennedy,"$2,150,000",453178
Jordan Montgomery,"$2,130,000",656756
Chad Kuhl,"$2,130,000",641771
John Gant,"$2,100,000",607231
Steven Brault,"$2,050,000",643230
Pierce Johnson,"$2,000,000",572955
Mark Melancon,"$2,000,000",453343
Nick Wittgren,"$2,000,000",621295
Aaron Bummer,"$2,000,000",607481
Hansel Robles,"$2,000,000",570663
Evan Marshall,"$2,000,000",605359
Matt Shoemaker,"$2,000,000",533167
Mike Foltynewicz,"$2,000,000",592314
Jon Lester,"$2,000,000",452657
Brooks Raley,"$2,000,000",548384
Jake McGee,"$2,000,000",459429
Luke Weaver,"$1,950,000",596133
Yimi Garcia,"$1,900,000",554340
Luke Jackson,"$1,900,000",592426
Buck Farmer,"$1,850,000",571656
Matt Andriese,"$1,850,000",542882
Frankie Montas,"$1,800,000",593423
Collin McHugh,"$1,800,000",543521
David Phelps,"$1,750,000",475479
Darren O'Day,"$1,750,000",503285
Tyler Clippard,"$1,750,000",461325
Chris Flexen,"$1,700,000",623167
Richard Rodriguez,"$1,700,000",593144
Miguel Castro,"$1,687,500",612434
Emilio Pagan,"$1,570,000",641941
Brent Suter,"$1,550,000",608718
Cam Bedrosian,"$1,500,000",592135
Nate Jones,"$1,500,000",518858
Ervin Santana,"$1,500,000",429722
Rafael Dolis,"$1,500,000",503569
Joe Jimenez,"$1,500,000",641729
Shane Greene,"$1,500,000",572888
Joe Ross,"$1,500,000",605452
Trevor Cahill,"$1,500,000",502239
Chasen Shreve,"$1,500,000",592741
Sean Doolittle,"$1,500,000",448281
Amir Garrett,"$1,500,000",607237
Caleb Smith,"$1,465,000",592761
Carlos Estevez,"$1,450,000",608032
Richard Bleier,"$1,425,000",542947
Jesse Hahn,"$1,350,000",534910
Robert Gsellman,"$1,300,000",607229
A.J. Minter,"$1,300,000",621345
Ken Giles,"$1,275,000",571704
Heath Hembree,"$1,250,000",592390
Jimmy Nelson,"$1,250,000",519076
Wade Davis,"$1,250,000",451584
Kendall Graveman,"$1,250,000",608665
Ryan Brasier,"$1,250,000",518489
Freddy Peralta,"$1,234,960",642547
Keone Kela,"$1,200,000",605309
Hirokazu Sawamura,"$1,200,000",617228
Mike Mayers,"$1,200,000",594577
Yonny Chirinos,"$1,175,000",630023
Chaz Roe,"$1,150,000",475054
Matt Wisler,"$1,150,000",605538
Ryne Stanek,"$1,100,000",592773
Chris Stratton,"$1,100,000",608717
Chi Chi Gonzalez,"$1,100,000",592346
Luis Cessa,"$1,050,000",570666
Jose Alvarez,"$1,050,000",501625
Tommy Kahnle,"$1,025,000",592454
Michael Feliz,"$1,000,000",593140
Brad Boxberger,"$1,000,000",502202
Hunter Strickland,"$1,000,000",519326
Scott Alexander,"$1,000,000",518397
A.J. Cole,"$1,000,000",595918
Bryan Shaw,"$1,000,000",543766
Jose Alvarado,"$1,000,000",621237
Anthony Bass,"$1,000,000",542914
Josh Tomlin,"$1,000,000",458708
Steve Cishek,"$1,000,000",518553
Tony Watson,"$1,000,000",453265
Chris Devenski,"$1,000,000",606965
Jhoulys Chacin,"$1,000,000",468504
Matt Harvey,"$1,000,000",518774
Phil Maton,"$975,000",664208
Dylan Floro,"$975,000",571670
Jose Cisnero,"$970,000",542585
Luis Avilan,"$950,000",501593
Jarlin Garcia,"$950,000",606424
Derek Holland,"$925,000",502706
Adam Cimber,"$925,000",643256
Wandy Peralta,"$925,000",593974
Ryan Buchter,"$925,000",488748
Lou Trivino,"$912,500",642152
Grant Dayton,"$900,000",594795
Jace Fry,"$862,500",605240
Jordan Hicks,"$862,500",663855
Rex Brothers,"$850,000",571521
Dan Altavilla,"$850,000",656186
David Hale,"$850,000",571735
Ross Detwiler,"$850,000",446321
Robert Stephenson,"$805,000",596112
Ryan Tepera,"$800,000",572193
Erasmo Ramirez,"$800,000",541640
Drew Steckenrider,"$800,000",608716
John Brebbia,"$800,000",605154
Kyle Crick,"$800,000",605195
Oliver Drake,"$775,000",543118
Jonathan Holder,"$750,000",656547
Andrew Kittredge,"$750,000",552640
Junior Guerra,"$750,000",448855
Seranthony Dominguez,"$727,500",622554
Burch Smith,"$705,000",572143
Randy Dobnak,"$700,000",677976
Caleb Thielbar,"$700,000",573204
Reyes Moronta,"$695,000",606625
Devin Williams,"$681,100",642207
Matt Bush,"$680,000",456713
Shane Bieber,"$679,700",669456
Scott Barlow,"$650,000",605130
Clay Holmes,"$650,000",605280
Framber Valdez,"$637,300",664285
Sandy Alcantara,"$630,000",645261
Justus Sheffield,"$625,000",656954
Cristian Javier,"$620,400",664299
Domingo German,"$619,675",593334
Austin Pruitt,"$617,500",643493
John Curtiss,"$615,000",595928
Nick Pivetta,"$613,500",601713
Chris Paddack,"$610,900",663978
Corbin Burnes,"$608,000",669203
Zac Gallen,"$607,500",668678
Joey Lucchesi,"$607,100",664192
Jose Urquidy,"$604,200",664353
Alex Young,"$603,000",622065
Taylor Clarke,"$601,800",664199
Wander Suero,"$600,700",593833
Caleb Ferguson,"$600,500",657571
Tyler Matzek,"$600,500",554431
Sean Newcomb,"$600,500",656794
Alec Mills,"$600,000",621219
Tim Mayza,"$600,000",641835
Dylan Cease,"$600,000",656302
Lucas Luetge,"$600,000",476595
Blake Taylor,"$599,100",642130
Brandon Bielak,"$599,000",656232
Lucas Sims,"$598,500",608371
Enoli Paredes,"$596,900",660600
Stefan Crichton,"$596,400",592233
Tim Hill,"$596,000",657612
Jonathan Loaisiga,"$595,800",642528
Dakota Hudson,"$595,700",641712
Ryan Borucki,"$595,200",621366
Pablo Lopez,"$595,000",641154
Giovanny Gallegos,"$594,500",606149
Brady Singer,"$593,700",663903
John Means,"$593,500",607644
Rowan Wick,"$593,000",592858
Trent Thornton,"$592,900",663423
Casey Sadler,"$591,800",594987
Dustin May,"$590,500",669160
Touki Toussaint,"$590,500",657053
Griffin Canning,"$590,500",656288
JT Brubaker,"$590,500",664141
Zach Plesac,"$590,200",668676
Brett Martin,"$589,500",656685
Tanner Rainey,"$589,000",663432
Jalen Beeks,"$588,800",656222
Josh Staumont,"$588,700",622251
Kyle Zimmer,"$588,700",622092
Nick Anderson,"$587,800",623433
Austin Voth,"$587,700",608723
